id,a1,a2,a3,tst,exm,course
3418,45.5,50.25,19.5,23.00,69.0,95
3697,36.1,14.70,1.5,21.50,47.5,64
2938,44.0,,,18.5,,19
3201,41.0,50.25,19.25,21.50,63.0,89
2571,43.0,50.00,19.75,20.50,64.0,89
3538,45.5,51.00,16.25,22.00,71.0,94
3280,45.5,51.50,19.0,24.00,70.5,96
2856,41.0,49.75,18.25,18.50,63.5,87
2755,40.5,40.50,17.0,8,55.0,72
3584,43.5,,,16.5,,15
2514,,,,8.00,,10
2706,41.0,44.50,15.25,21.50,67.5,90
2445,36.7,,,13.5,,15
3158,,,7.5,12.5,68.5,66
3136,36.5,46.00,3.25,12.00,34.0,57
2548,,,,9.50,16.0,20
3455,42.0,49.00,5.5,22.50,58.0,75
3324,31.3,34.00,,16.50,32.5,50
3271,41.0,50.00,6.0,6.00,14.0,40
3586,43.5,51.25,15.0,17.00,50.0,77
3710,40.5,49.50,10.0,12.00,37.0,61
3399,44.5,36.30,,23.5,71.0,85
3371,41.0,50.25,19.0,17.50,49.5,78
3283,41.5,50.00,15.0,17.50,32.5,64
3080,39.0,48.50,13.25,22.00,55.5,82
3499,38.0,,,17.00,,20
3590,36.5,,1.25,11.50,41.0,50
3157,2.4,38.65,7.5,8.00,16.0,33
